Track,Artist,Album
Billie Jean,Michael Jackson,Thriller
Beat It,Michael Jackson,Thriller
Wanna Be Startin' Somethin,Michael Jackson,Thriller
Human Nature,Michael Jackson,Thriller
Thriller,Michael Jackson,Thriller
Move Over,Janis Joplin,Pearl
Cry Baby,Janis Joplin,Pearl
A Woman Left Lonely,Janis Joplin,Pearl
Half Moon,Janis Joplin,Pearl
Buried Alive In The Blues,Janis Joplin,Pearl
Believe,Cher,Believe
The Power,Cher,Believe
All or Nothing,Cher,Believe
Strong Enough,Cher,Believe
Love Is the Groove,Cher,Believe
Taxman,The Beatles,Revolver
Eleanor Rigby,The Beatles,Revolver
Yellow Submarine,The Beatles,Revolver
"Here, There and Everywhere",The Beatles,Revolver
She Said She Said,The Beatles,Revolver
So What,Miles Davis,Kind of Blue
Freddie Freeloader,Miles Davis,Kind of Blue
Blue in Green,Miles Davis,Kind of Blue
All Blues,Miles Davis,Kind of Blue
Flamenco Sketches,Miles Davis,Kind of Blue
With or Without You,U2,The Joshua Tree
I Still Haven't Found What I'm Looking For,U2,The Joshua Tree
Where the Streets Have No Name,U2,The Joshua Tree
In God's Country,U2,The Joshua Tree
One Tree Hill,U2,The Joshua Tree
Thunder Road,Bruce Springsteen,Born to Run
Tenth Avenue Freeze-Out,Bruce Springsteen,Born to Run
Born to Run,Bruce Springsteen,Born to Run
She's the One,Bruce Springsteen,Born to Run
Meeting Across the River,Bruce Springsteen,Born to Run
Who's Zoomin' Who,Aretha Franklin,Who's Zoomin' Who?
Sisters Are Doin' It for Themselves,Aretha Franklin,Who's Zoomin' Who?
Another Night,Aretha Franklin,Who's Zoomin' Who?
Freeway of Love,Aretha Franklin,Who's Zoomin' Who?
Ain't Nobody Ever Loved You,Aretha Franklin,Who's Zoomin' Who?